epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,544.881,1.05776,1.21188,1.00757,0.91492,0.71798,0.85038,0.50446,1.29657,1.75692,1.20208,0.0011684,0.0011684,0.0011684
44,556.836,1.04814,1.12967,0.99614,0.91106,0.8,0.87899,0.51576,1.29355,1.63917,1.20398,0.0011486,0.0011486,0.0011486
45,568.885,1.03391,1.27811,1.04265,1,0.78661,0.90687,0.57507,1.31229,1.66282,1.21086,0.0011288,0.0011288,0.0011288
46,580.983,1.05986,1.17533,1.03304,0.96257,0.86667,0.93968,0.58672,1.29945,1.62454,1.22538,0.001109,0.001109,0.001109
47,593.165,0.91099,1.10832,0.99793,1,0.89561,0.94885,0.58369,1.23198,1.69553,1.22765,0.0010892,0.0010892,0.0010892
48,605.615,0.92613,1.10668,1.02375,0.87036,0.89625,0.93945,0.58528,1.208,1.71283,1.23418,0.0010694,0.0010694,0.0010694
49,617.65,0.96017,1.09018,0.99654,0.86937,0.88826,0.94196,0.60994,1.18805,1.71632,1.22125,0.0010496,0.0010496,0.0010496
50,629.609,0.8543,0.9698,0.96505,0.87291,0.91663,0.95725,0.65922,1.1501,1.67594,1.21566,0.0010298,0.0010298,0.0010298
51,641.893,0.81981,0.99163,0.96494,0.9819,0.8,0.95365,0.63195,1.14427,1.66864,1.20582,0.00101,0.00101,0.00101
52,654.14,0.89498,0.98242,1.00305,0.77662,0.92743,0.91817,0.60451,1.18062,1.57759,1.15559,0.0009902,0.0009902,0.0009902
53,666.483,0.91385,1.00748,1.01259,0.83322,0.99923,0.94667,0.64484,1.16193,1.64636,1.0992,0.0009704,0.0009704,0.0009704
54,679.25,0.98588,1.10618,1.00182,0.93281,0.92607,0.98033,0.65822,1.15207,1.59273,1.06787,0.0009506,0.0009506,0.0009506
55,691.562,0.8354,0.97862,0.93098,0.99366,0.93333,0.98,0.70596,1.10236,1.48923,1.05552,0.0009308,0.0009308,0.0009308
56,703.957,0.90044,1.0901,0.99662,0.99166,0.93333,0.98,0.71744,1.0245,1.3591,1.02683,0.000911,0.000911,0.000911
57,716.106,0.92133,1.01825,1.04313,0.99398,0.93333,0.98,0.69457,1.00974,1.26227,1.036,0.0008912,0.0008912,0.0008912
58,728.036,0.85765,0.95703,0.99133,0.99576,0.93333,0.985,0.66602,1.02415,1.26625,1.0446,0.0008714,0.0008714,0.0008714
59,740.013,0.94888,1.03176,1.03612,0.9902,0.93333,0.985,0.69468,1.03708,1.25102,1.05222,0.0008516,0.0008516,0.0008516
60,752.012,0.91687,0.95565,1.00429,0.97869,0.93333,0.98794,0.6984,1.0417,1.27611,1.03867,0.0008318,0.0008318,0.0008318
61,764.05,0.88354,0.98152,1.00295,0.96973,0.93333,0.98794,0.67592,1.02857,1.25014,1.03068,0.000812,0.000812,0.000812
62,776.122,0.8186,0.8603,0.95949,0.92932,1,0.99125,0.67115,1.07549,1.2561,1.08369,0.0007922,0.0007922,0.0007922
63,788.629,0.79166,0.90462,0.97493,0.99896,1,0.995,0.63512,1.1333,1.20955,1.12149,0.0007724,0.0007724,0.0007724
64,801.003,0.80518,0.87036,0.98021,0.98959,1,0.995,0.62786,1.17082,1.16793,1.12587,0.0007526,0.0007526,0.0007526
65,813.069,0.8439,0.88744,0.94908,0.99408,1,0.995,0.65494,1.17779,1.17591,1.1203,0.0007328,0.0007328,0.0007328
66,825.362,0.81469,0.8618,0.9867,0.99719,1,0.995,0.64525,1.18357,1.17786,1.1206,0.000713,0.000713,0.000713
67,837.779,0.93257,0.91731,1.0017,0.99529,1,0.995,0.67139,1.142,1.13827,1.12005,0.0006932,0.0006932,0.0006932
68,849.765,0.75705,0.80633,0.93343,0.98998,1,0.995,0.67632,1.07757,1.12802,1.08381,0.0006734,0.0006734,0.0006734
69,861.713,0.85693,0.86922,1.01444,0.99347,1,0.995,0.71422,1.02199,1.11818,1.05593,0.0006536,0.0006536,0.0006536
70,873.607,0.84289,0.86042,0.95211,0.99552,1,0.995,0.72465,0.97403,1.08114,1.03966,0.0006338,0.0006338,0.0006338
71,885.689,0.8154,0.81286,0.99599,0.99552,1,0.995,0.72982,0.97904,1.11841,1.03425,0.000614,0.000614,0.000614
72,897.708,0.9028,0.91696,1.00389,0.88227,1,0.97042,0.68164,1.00437,1.23299,1.04271,0.0005942,0.0005942,0.0005942
73,909.555,0.86529,0.87919,1.01479,0.99492,1,0.995,0.69756,1.01779,1.14297,1.05508,0.0005744,0.0005744,0.0005744
74,921.651,0.85267,0.82988,0.93549,0.99396,1,0.995,0.72006,1.03808,1.01394,1.0616,0.0005546,0.0005546,0.0005546
75,933.586,0.86744,0.87544,1.00486,0.99344,1,0.995,0.71609,1.06628,1.0521,1.08524,0.0005348,0.0005348,0.0005348
76,945.578,0.93124,0.91375,0.96656,0.99424,1,0.995,0.66803,1.06602,1.06907,1.1086,0.000515,0.000515,0.000515
77,957.89,0.87705,0.86039,0.97591,0.99506,1,0.995,0.65459,1.0818,1.05107,1.13628,0.0004952,0.0004952,0.0004952
78,970.493,0.75641,0.74449,0.90049,1,0.99285,0.995,0.65746,1.11007,1.02289,1.14508,0.0004754,0.0004754,0.0004754
79,982.994,0.70779,0.74244,0.93729,0.98834,0.93333,0.99125,0.65077,1.13338,1.03071,1.14582,0.0004556,0.0004556,0.0004556
80,995.454,0.70349,0.72017,0.90769,0.93648,0.98365,0.98688,0.64577,1.13792,1.01993,1.14952,0.0004358,0.0004358,0.0004358
81,1007.88,0.8182,0.84492,0.99509,0.93511,1,0.98688,0.65152,1.12283,1.01349,1.15137,0.000416,0.000416,0.000416
82,1020.36,0.74609,0.82074,0.97523,1,0.97566,0.995,0.65622,1.11131,1.02808,1.14264,0.0003962,0.0003962,0.0003962
83,1032.37,0.92214,0.91893,1.06191,0.9978,1,0.995,0.67594,1.09132,1.04043,1.12385,0.0003764,0.0003764,0.0003764
84,1044.32,0.75259,0.74534,0.93719,0.99697,1,0.995,0.71726,1.07902,1.03923,1.11262,0.0003566,0.0003566,0.0003566
85,1056.21,0.81035,0.81436,0.94954,0.99493,1,0.995,0.71387,1.05823,0.99334,1.09824,0.0003368,0.0003368,0.0003368
86,1068.15,0.69716,0.75494,0.90594,0.99281,1,0.995,0.74515,1.03996,0.96697,1.07913,0.000317,0.000317,0.000317
87,1080.18,0.68858,0.72588,0.90328,0.99215,1,0.995,0.75385,1.01498,0.94689,1.06643,0.0002972,0.0002972,0.0002972
88,1092.55,0.67113,0.71252,0.90138,0.99241,1,0.995,0.74232,0.99649,0.93699,1.05861,0.0002774,0.0002774,0.0002774
89,1110.99,0.75313,0.76871,0.98034,0.99714,1,0.995,0.74138,0.97935,0.94336,1.0536,0.0002576,0.0002576,0.0002576
90,1127.13,0.68649,0.72381,0.9315,0.99668,1,0.995,0.74069,0.96938,0.94121,1.0501,0.0002378,0.0002378,0.0002378
91,1140.36,0.62108,0.73381,0.88542,0.99914,1,0.995,0.7597,0.97407,0.92831,1.05653,0.000218,0.000218,0.000218
92,1153.15,0.61906,0.69223,0.88472,0.99702,1,0.995,0.75731,0.98377,0.91122,1.06331,0.0001982,0.0001982,0.0001982
93,1165.97,0.58189,0.68502,0.81949,0.99655,1,0.995,0.73614,0.99078,0.89599,1.06757,0.0001784,0.0001784,0.0001784
94,1179.55,0.6423,0.71519,0.87853,0.99299,1,0.995,0.73726,0.99242,0.88733,1.07383,0.0001586,0.0001586,0.0001586
95,1192.25,0.55373,0.67364,0.83979,0.992,1,0.995,0.72388,0.98768,0.88644,1.07266,0.0001388,0.0001388,0.0001388
96,1205.06,0.67481,0.7342,0.91076,0.99002,1,0.995,0.73097,0.98969,0.89334,1.07362,0.000119,0.000119,0.000119
97,1218.06,0.57305,0.70891,0.85053,0.99017,1,0.995,0.73878,0.98843,0.91126,1.06928,9.92e-05,9.92e-05,9.92e-05
98,1230.86,0.56198,0.7063,0.90142,0.98826,1,0.995,0.74005,0.99124,0.91941,1.07284,7.94e-05,7.94e-05,7.94e-05
99,1246.26,0.60248,0.75798,0.8865,0.98703,1,0.995,0.74005,0.98879,0.92845,1.07222,5.96e-05,5.96e-05,5.96e-05
100,1264.75,0.53091,0.69536,0.86817,0.98696,1,0.995,0.74005,0.98765,0.9313,1.07149,3.98e-05,3.98e-05,3.98e-05
